key_path	fixture_path	startup_apply_command	model_identifier	verification_command	expected_result	actual_evidence_path	pass_fail_status
model_fit.ctx_size	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.batch	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.ubatch	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.cache_type_k	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.cache_type_v	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.kv_cache_policy	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.kv_offload	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prompt_cache	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.enabled	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.max_entries	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.max_bytes	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.min_tokens	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.shared_stride_tokens	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.shared_record_limit	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.prefix_cache.payload_mode	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.swa_full	docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml	python3 docs/skippy/manual-smoke/runtime_smoke.py --binary target/debug/mesh-llm --fixture docs/skippy/manual-smoke/fixtures/model_fit/runtime-single-stage.toml --model-path $MESH_LLM_SMOKE_MODEL_PATH --api-port 9437 --console-port 3231 --max-wait 600	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	wait for /api/status and /v1/models, then send /v1/chat/completions	Live local runtime smoke succeeded; see model_fit section in evidence for /api/status, /v1/models, chat completion, and cleanup.	.sisyphus/evidence/task-11-manual-runtime-smoke.txt	PASS
model_fit.kv_unified	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
model_fit.cache_ram_mib	docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml	target/debug/mesh-llm serve --config docs/skippy/manual-smoke/fixtures/model_fit/rejected-reserved.toml --headless	unsloth/Qwen3.5-4B-GGUF:UD-Q4_K_XL	capture nonzero exit and missing launch in stderr	Local serve path did not fail closed on this reserved model-fit bundle before startup; row kept as blocker until isolated negative evidence exists.	.sisyphus/evidence/task-11-manual-runtime-smoke-error.txt	BLOCKED_EVIDENCE_GAP
